TestNumber,QueryNodes,SharingIndexSize,SharingIndexMinDegree
100,{1207 、155163 、,317080,1
100,{133321 、,271646,2
100,{237064 、315795 、53663 、,141845,4
100,{279300 、237906 、,141845,4
100,{14767 、,66742,6
100,{316620 、,317080,1
100,{301107 、109528 、183070 、313685 、,271646,2
100,{58097 、184077 、89680 、133200 、275201 、,317080,1
100,{72039 、288081 、295001 、175229 、258522 、,317080,1
100,{306290 、34468 、,271646,2
100,{2839 、233824 、107425 、,203159,3
100,{161942 、285119 、174035 、115625 、,317080,1
100,{217309 、283836 、264960 、188659 、,317080,1
100,{118093 、172077 、143019 、121520 、193648 、,271646,2
100,{210041 、227347 、,203159,3
100,{143785 、66326 、43403 、235394 、,141845,4
100,{107109 、87923 、282564 、231081 、197406 、,317080,1
100,{132563 、,6670,14
100,{64825 、220607 、,271646,2
100,{127170 、,141845,4
100,{139765 、227102 、,271646,2
100,{194978 、118283 、248720 、8918 、250120 、,317080,1
100,{277516 、230571 、,271646,2
100,{235204 、,271646,2
100,{13601 、132376 、262655 、125846 、94637 、,317080,1
100,{106927 、,203159,3
100,{215414 、32885 、251031 、,271646,2
100,{192217 、289990 、168611 、161422 、215211 、,271646,2
100,{252638 、,271646,2
100,{172298 、,317080,1
100,{148287 、61089 、139214 、243628 、291603 、,271646,2
100,{288219 、253500 、176212 、100738 、172865 、,317080,1
100,{97125 、286964 、175982 、,271646,2
100,{88544 、286216 、171820 、217215 、,271646,2
100,{104270 、84420 、39082 、,141845,4
100,{242516 、164499 、,141845,4
100,{123075 、266730 、19954 、188607 、,271646,2
100,{255919 、79093 、309808 、,203159,3
100,{89752 、26993 、235745 、241285 、,203159,3
100,{287804 、292781 、28048 、,271646,2
100,{119681 、66250 、110622 、120369 、174595 、,317080,1
100,{264809 、,203159,3
100,{156801 、257687 、174606 、,317080,1
100,{87606 、93032 、197265 、,271646,2
100,{28981 、88270 、63108 、,317080,1
100,{128417 、,23701,9
100,{113630 、309486 、238915 、37072 、,317080,1
100,{188470 、34087 、240512 、214143 、,271646,2
100,{229243 、,66742,6
100,{67754 、220407 、246259 、124025 、,271646,2
100,{176106 、,271646,2
100,{239484 、213138 、18550 、7545 、,271646,2
100,{80549 、,97636,5
100,{166365 、,271646,2
100,{299578 、297571 、79559 、139644 、,317080,1
100,{116209 、277354 、,271646,2
100,{118306 、,317080,1
100,{90296 、,317080,1
100,{165566 、164204 、,203159,3
100,{134746 、282379 、174088 、,317080,1
100,{146485 、,46340,7
100,{287257 、305558 、,271646,2
100,{121945 、,203159,3
100,{135794 、281413 、276968 、284916 、184406 、,271646,2
100,{6071 、58662 、8842 、,66742,6
100,{93098 、222172 、,317080,1
100,{314237 、14254 、,271646,2
100,{229279 、59565 、152519 、,203159,3
100,{301862 、,271646,2
100,{179948 、117164 、269468 、830 、150465 、,317080,1
100,{63799 、,203159,3
100,{303372 、220053 、90853 、222050 、,271646,2
100,{210339 、,97636,5
100,{108127 、282099 、,317080,1
100,{69272 、52491 、268333 、5408 、219070 、,317080,1
100,{258988 、,317080,1
100,{59577 、,203159,3
100,{227717 、234128 、292072 、,271646,2
100,{191422 、,271646,2
100,{189188 、140659 、51686 、141929 、,271646,2
100,{172791 、96103 、,317080,1
100,{268770 、278362 、2915 、,203159,3
100,{183269 、197480 、,271646,2
100,{259954 、23839 、169570 、51665 、268307 、,203159,3
100,{52228 、61728 、,271646,2
100,{2368 、231807 、,46340,7
100,{20446 、257783 、240259 、162164 、207895 、,271646,2
100,{16867 、302670 、213241 、288644 、88797 、,317080,1
100,{4759 、,10269,12
100,{271990 、236197 、189319 、,203159,3
100,{125156 、234717 、120649 、248238 、295787 、,317080,1
100,{33165 、4282 、,317080,1
100,{203437 、,141845,4
100,{121717 、202699 、200838 、294942 、290589 、,317080,1
100,{284043 、204872 、138885 、184414 、149991 、,317080,1
100,{22183 、181884 、75733 、160333 、,317080,1
100,{98504 、87999 、203284 、,271646,2
100,{119181 、142479 、303101 、237994 、218559 、,203159,3
100,{244420 、,97636,5
100,{200506 、285780 、,271646,2
