TestNumber,QueryNodes,TreeIndexSize,TreeIndexMinDegree
100,{3217 、2901 、,3478,6
100,{2196 、,470,70
100,{346 、3384 、3627 、530 、,3754,4
100,{1448 、2169 、,913,37
100,{2410 、450 、1575 、46 、665 、,3634,5
100,{2396 、2858 、3147 、1787 、,3634,5
100,{2718 、1373 、,1821,20
100,{1198 、1714 、171 、1966 、220 、,3754,4
100,{1341 、759 、3136 、,3113,9
100,{2974 、1081 、,1266,28
100,{2268 、521 、506 、428 、1436 、,2378,15
100,{207 、2962 、2664 、,3856,3
100,{3179 、2434 、,1012,35
100,{2839 、1397 、319 、3922 、2157 、,3964,2
100,{3510 、1630 、3527 、,2519,14
100,{685 、,2519,14
100,{2813 、2366 、507 、196 、3108 、,2667,13
100,{375 、2235 、2124 、,2061,17
100,{413 、,2378,15
100,{440 、397 、3056 、3077 、,2799,12
100,{3007 、3593 、3280 、,2231,16
100,{2319 、,470,70
100,{840 、1513 、2181 、3641 、,2987,10
100,{3107 、616 、,2987,10
100,{1990 、3559 、1454 、2443 、,2378,15
100,{1227 、457 、,2799,12
100,{984 、1149 、1238 、2432 、2663 、,2519,14
100,{1473 、599 、3322 、1968 、,3371,7
100,{1358 、2457 、,4039,1
100,{1099 、1421 、334 、1793 、2313 、,2231,16
100,{1652 、3346 、1115 、2176 、,1769,21
100,{1933 、1561 、,2904,11
100,{1228 、160 、161 、2352 、729 、,3964,2
100,{169 、875 、2011 、,4039,1
100,{3631 、1095 、,2987,10
100,{1757 、2541 、2065 、2792 、1515 、,3964,2
100,{3601 、419 、47 、,3964,2
100,{3815 、,2519,14
100,{2644 、1108 、1971 、176 、3614 、,3113,9
100,{810 、3399 、2695 、,2904,11
100,{1155 、,1352,26
100,{2206 、834 、2738 、102 、,3478,6
100,{2279 、3029 、3548 、,3634,5
100,{2307 、,158,115
100,{2046 、3797 、999 、,1591,22
100,{2238 、,2904,11
100,{1307 、138 、1598 、3230 、,4039,1
100,{1242 、3125 、,3964,2
100,{3132 、,913,37
100,{874 、2944 、2389 、938 、,3478,6
100,{2338 、2485 、,470,70
100,{1096 、454 、6 、547 、1784 、,4039,1
100,{3100 、3889 、896 、2451 、,2378,15
100,{2014 、1978 、,2987,10
100,{3367 、363 、1262 、924 、1053 、,3964,2
100,{797 、1917 、672 、,3230,8
100,{381 、1577 、,2799,12
100,{3022 、2505 、2289 、1699 、289 、,3754,4
100,{2532 、3333 、,3371,7
100,{3975 、2472 、1123 、1044 、3293 、,2667,13
100,{3544 、2102 、2409 、,3754,4
100,{735 、,3634,5
100,{166 、750 、401 、3332 、100 、,3964,2
100,{763 、135 、975 、,2987,10
100,{233 、,3964,2
100,{2399 、3136 、1779 、819 、,2799,12
100,{3315 、402 、348 、,2519,14
100,{3854 、,3964,2
100,{2771 、3376 、1018 、1176 、,3964,2
100,{302 、,2378,15
100,{3982 、3627 、1264 、2187 、,3634,5
100,{3240 、3244 、,2667,13
100,{1416 、,470,70
100,{1773 、106 、3891 、3976 、,3230,8
100,{2576 、1578 、,1106,33
100,{2525 、1570 、529 、2418 、661 、,3113,9
100,{1634 、2162 、1162 、3005 、,3230,8
100,{2236 、1403 、,3113,9
100,{638 、3527 、3312 、1646 、2401 、,4039,1
100,{587 、3568 、2666 、,3113,9
100,{526 、3188 、,1224,30
100,{16 、2450 、3329 、916 、705 、,3371,7
100,{3777 、1014 、848 、,2987,10
100,{1905 、3484 、2219 、2333 、3460 、,3634,5
100,{3688 、666 、3934 、,3964,2
100,{2248 、,2378,15
100,{3353 、2535 、2923 、3534 、,3478,6
100,{3595 、3560 、1933 、,3856,3
100,{3432 、,3478,6
100,{3195 、875 、1454 、1880 、,4039,1
100,{1675 、440 、2639 、,2799,12
100,{57 、,2799,12
100,{3549 、2274 、2110 、332 、,3371,7
100,{601 、1448 、,1769,21
100,{4011 、,3754,4
100,{1897 、1954 、,1591,22
100,{1028 、2667 、3804 、2797 、3757 、,2667,13
100,{2984 、1525 、758 、3964 、,2667,13
100,{3116 、2064 、,913,37
100,{2526 、2764 、1613 、1166 、1606 、,2667,13
